te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,orig_pnl,best_pnl,best_thr_bot,best_thr_top,best_cooldown,alpha_bh,n_trades,win_rate,elapsed_s
binning,20,analogical,2,fixed,score_component,2.27,392.37,0.6,0.65,0,306.3,10,0.0,64.2
kde,20,analogical,2,fixed,score_component,2.27,392.37,0.6,0.65,0,306.3,10,0.0,187.6
binning,20,analogical,3,fixed,filter_and,-4.42,387.92,0.45,0.65,0,301.85,10,0.0,64.8
kde,20,analogical,3,fixed,filter_and,-4.42,387.92,0.45,0.65,0,301.85,10,0.0,169.3
binning,20,analogical,3,fixed,score_component,14.04,375.82,0.45,0.7,48,289.75,10,0.0,65.6
kde,20,analogical,3,fixed,score_component,14.04,375.82,0.45,0.7,48,289.75,10,0.0,210.7
binning,30,jacobian,2,fixed,score_component,6.81,355.18,0.65,0.7,24,269.11,14,100.0,81.8
kde,30,jacobian,2,fixed,score_component,6.81,355.18,0.65,0.7,24,269.11,14,100.0,169.3
binning,20,jacobian,3,fixed,score_component,-12.68,351.56,0.65,0.7,96,265.49,22,50.0,66.0
kde,20,jacobian,3,fixed,score_component,-12.68,351.56,0.65,0.7,96,265.49,22,50.0,170.9
binning,30,analogical,3,fixed,score_component,-5.78,349.57,0.45,0.65,24,263.5,10,0.0,81.9
kde,30,analogical,3,fixed,score_component,-5.78,349.57,0.45,0.65,24,263.5,10,0.0,170.4
binning,20,jacobian,2,fixed,score_component,6.38,347.84,0.6,0.7,96,261.77,10,0.0,66.6
kde,20,jacobian,2,fixed,score_component,6.38,347.84,0.6,0.7,96,261.77,10,0.0,172.9
binning,15,jacobian,3,fixed,score_component,300.89,346.67,0.45,0.65,24,260.6,10,0.0,55.8
kde,15,jacobian,3,fixed,score_component,300.89,346.67,0.45,0.65,24,260.6,10,0.0,160.2
binning,15,jacobian,2,fixed,score_component,193.01,337.56,0.45,0.65,24,251.49,10,0.0,55.4
kde,15,jacobian,2,fixed,score_component,193.01,337.56,0.45,0.65,24,251.49,10,0.0,160.2
binning,20,analogical,2,fixed,filter_and,-3.03,335.51,0.45,0.65,0,249.44,10,0.0,63.7
kde,20,analogical,2,fixed,filter_and,-3.03,335.51,0.45,0.65,0,249.44,10,0.0,203.8
binning,15,jacobian,2,adaptive_percentile,filter_and,4.73,328.87,0.65,0.45,0,242.8,520,37.7,60.2
kde,15,jacobian,2,adaptive_percentile,filter_and,4.73,328.87,0.65,0.45,0,242.8,520,37.7,152.2
binning,30,jacobian,3,adaptive_percentile,filter_and,-3.46,321.93,0.7,0.45,0,235.86,269,50.4,86.0
kde,30,jacobian,3,adaptive_percentile,filter_and,-3.46,321.93,0.7,0.45,0,235.86,269,50.4,174.6
binning,15,jacobian,3,adaptive_percentile,score_component,-10.46,313.44,0.7,0.65,0,227.37,908,30.8,65.0
kde,15,jacobian,3,adaptive_percentile,score_component,-10.46,313.44,0.7,0.65,0,227.37,908,30.8,179.0
binning,15,jacobian,3,adaptive_percentile,filter_and,3.66,312.98,0.65,0.45,0,226.91,537,38.0,60.6
kde,15,jacobian,3,adaptive_percentile,filter_and,3.66,312.98,0.65,0.45,0,226.91,537,38.0,177.0
binning,30,jacobian,3,fixed,filter_and,171.34,310.2,0.65,0.7,0,224.13,10,0.0,81.6
kde,30,jacobian,3,fixed,filter_and,171.34,310.2,0.65,0.7,0,224.13,10,0.0,168.0
binning,30,jacobian,3,fixed,score_component,-6.84,305.58,0.65,0.7,96,219.51,14,50.0,83.4
kde,30,jacobian,3,fixed,score_component,-6.84,305.58,0.65,0.7,96,219.51,14,50.0,171.3
binning,30,analogical,2,fixed,score_component,0.93,298.55,0.45,0.6,0,212.48,10,0.0,81.3
kde,30,analogical,2,fixed,score_component,0.93,298.55,0.45,0.6,0,212.48,10,0.0,168.7
binning,30,analogical,3,fixed,filter_and,21.73,293.83,0.45,0.6,0,207.76,10,0.0,82.2
kde,30,analogical,3,fixed,filter_and,21.73,293.83,0.45,0.6,0,207.76,10,0.0,168.9
binning,15,jacobian,2,adaptive_percentile,score_component,-15.32,291.1,0.7,0.65,0,205.03,898,30.7,64.4
kde,15,jacobian,2,adaptive_percentile,score_component,-15.32,291.1,0.7,0.65,0,205.03,898,30.7,156.5
binning,30,jacobian,2,fixed,filter_and,69.68,280.51,0.45,0.7,24,194.44,10,0.0,79.9
kde,30,jacobian,2,fixed,filter_and,69.68,280.51,0.45,0.7,24,194.44,10,0.0,169.4
binning,20,jacobian,2,fixed,filter_and,68.58,277.62,0.6,0.7,24,191.55,10,0.0,63.9
kde,20,jacobian,2,fixed,filter_and,68.58,277.62,0.6,0.7,24,191.55,10,0.0,172.4
binning,20,jacobian,3,fixed,filter_and,44.6,274.86,0.6,0.7,24,188.79,14,50.0,65.2
kde,20,jacobian,3,fixed,filter_and,44.6,274.86,0.6,0.7,24,188.79,14,50.0,169.0
binning,30,jacobian,2,adaptive_percentile,filter_and,-4.8,271.77,0.7,0.6,0,185.7,287,49.7,85.3
kde,30,jacobian,2,adaptive_percentile,filter_and,-4.8,271.77,0.7,0.6,0,185.7,287,49.7,174.5
binning,15,jacobian,3,fixed,filter_and,93.56,249.26,0.45,0.65,0,163.19,10,0.0,55.3
kde,15,jacobian,3,fixed,filter_and,93.56,249.26,0.45,0.65,0,163.19,10,0.0,159.7
binning,20,jacobian,3,adaptive_percentile,filter_and,2.85,248.39,0.65,0.45,0,162.32,350,37.3,70.1
kde,20,jacobian,3,adaptive_percentile,filter_and,2.85,248.39,0.65,0.45,0,162.32,350,37.3,176.2
knn,30,jacobian,3,adaptive_percentile,filter_and,3.43,246.21,0.7,0.6,0,160.14,625,38.1,131.7
