factor,ventana,bot_n,bot_mean,bot_median,bot_std,bot_auc,bot_dir,bot_cohens_d,bot_score,top_n,top_mean,top_median,top_std,top_auc,top_dir,top_cohens_d,top_score,neu_n,neu_mean,neu_median,neu_std
atr_rel_pct,4,1896,0.78,0.638,0.5616,0.5056,LOW,0.0087,0.0001,1872,0.7266,0.5976,0.4944,0.5297,LOW,0.0966,0.0057,600,0.7751,0.6461,0.5283
bb_position,4,1896,0.2559,0.1892,0.1989,0.7655,LOW,1.1038,0.5861,1872,0.7517,0.8094,0.1878,0.7909,HIGH,1.2506,0.7276,600,0.4928,0.4905,0.258
bear_streak,4,1896,1.702,2.0,1.2895,0.6813,HIGH,0.6336,0.2297,1872,0.242,0.0,0.5771,0.6798,LOW,0.8973,0.3227,600,0.91,1.0,1.1159
body_ratio,4,1896,0.4412,0.4384,0.1235,0.5096,HIGH,0.0387,0.0007,1872,0.4498,0.4459,0.1303,0.5255,HIGH,0.1042,0.0053,600,0.4364,0.4384,0.1234
bull_streak,4,1896,0.2637,0.0,0.6042,0.649,LOW,0.7202,0.2146,1872,1.7505,2.0,1.2882,0.7193,HIGH,0.7712,0.3382,600,0.7967,0.0,1.0608
close_position,4,1896,0.2392,0.1879,0.1956,0.7915,LOW,1.2425,0.7244,1872,0.7855,0.838,0.1832,0.8093,HIGH,1.3841,0.8562,600,0.5031,0.5,0.2584
dist_sma_pct,4,1896,-0.4169,-0.2664,0.5717,0.7477,LOW,0.7109,0.3522,1872,0.4152,0.2662,0.532,0.7791,HIGH,0.8334,0.4652,600,-0.022,-0.0044,0.501
drawdown_pct,4,1896,1.2298,0.905,1.1113,0.65,HIGH,0.4029,0.1209,1872,0.2772,0.1956,0.2915,0.774,LOW,1.1117,0.6092,600,0.8073,0.5536,0.8199
hl_spread_pct,4,1896,0.7531,0.6221,0.5126,0.518,LOW,0.0531,0.0019,1872,0.7179,0.6017,0.4762,0.5349,LOW,0.1279,0.0089,600,0.7806,0.6512,0.532
momentum_pct,4,1896,-0.6994,-0.4501,0.9729,0.7269,LOW,0.699,0.3172,1872,0.6998,0.4546,0.9156,0.7565,HIGH,0.7902,0.4054,600,-0.0265,0.0008,0.9297
price_slope,4,1896,-0.231,-0.1487,0.3315,0.7187,LOW,0.6686,0.2924,1872,0.2271,0.1499,0.3021,0.7492,HIGH,0.7791,0.3883,600,-0.0114,-0.0007,0.3186
recovery_pct,4,1896,0.3345,0.2205,0.3742,0.7504,LOW,0.8938,0.4476,1872,1.2588,0.924,1.0942,0.663,HIGH,0.406,0.1324,600,0.8309,0.5824,0.9173
rsi,4,1896,50.0,50.0,0.0,0.5,HIGH,0.0,0.0,1872,50.0,50.0,0.0,0.5,HIGH,0.0,0.0,600,50.0,50.0,0.0
volume_ratio,4,1896,1.1482,1.077,0.4332,0.6054,HIGH,0.3285,0.0692,1872,1.1216,1.0238,0.4343,0.5825,HIGH,0.2661,0.0439,600,1.0074,0.9218,0.414
volume_slope,4,1896,6.7623,5.5847,22.4993,0.5822,HIGH,0.2894,0.0476,1872,5.0416,2.888,22.9186,0.5561,HIGH,0.2112,0.0237,600,0.1423,-1.5924,24.0274
