umbral_bot,umbral_top,cooldown,pnl_pct,portfolio,alpha_bh,n_buy,n_sell,n_trades,n_ign,win_rate,alpha_orig
0.1,0.99,24,240.45,3404.55,154.39,16,15,31,9,80.0,178.61
0.15,0.99,24,240.45,3404.55,154.39,16,15,31,9,80.0,178.61
0.2,0.99,24,240.45,3404.55,154.39,16,15,31,9,80.0,178.61
0.25,0.99,24,240.45,3404.55,154.39,16,15,31,9,80.0,178.61
0.3,0.99,24,240.45,3404.55,154.39,16,15,31,9,80.0,178.61
0.1,0.99,48,180.95,2809.53,94.89,11,9,20,2,88.9,119.11
0.15,0.99,48,180.95,2809.53,94.89,11,9,20,2,88.9,119.11
0.2,0.99,48,180.95,2809.53,94.89,11,9,20,2,88.9,119.11
0.25,0.99,48,180.95,2809.53,94.89,11,9,20,2,88.9,119.11
0.3,0.99,48,180.95,2809.53,94.89,11,9,20,2,88.9,119.11
0.1,0.99,72,109.94,2099.4,23.87,9,7,16,0,85.7,48.1
0.15,0.99,72,109.94,2099.4,23.87,9,7,16,0,85.7,48.1
0.2,0.99,72,109.94,2099.4,23.87,9,7,16,0,85.7,48.1
0.25,0.99,72,109.94,2099.4,23.87,9,7,16,0,85.7,48.1
0.3,0.99,72,109.94,2099.4,23.87,9,7,16,0,85.7,48.1
0.1,0.99,0,91.08,1910.85,5.02,34,33,67,261,42.4,29.24
0.15,0.99,0,91.08,1910.85,5.02,34,33,67,261,42.4,29.24
0.2,0.99,0,91.08,1910.85,5.02,34,33,67,261,42.4,29.24
0.25,0.99,0,91.08,1910.85,5.02,34,33,67,261,42.4,29.24
0.3,0.99,0,91.08,1910.85,5.02,34,33,67,261,42.4,29.24
0.001,0.99,0,87.15,1871.52,1.09,15,17,32,16,58.8,25.31
0.1,0.7,0,61.84,1618.42,-24.22,285,304,589,12,23.4,-0.0
0.1,0.75,0,61.84,1618.42,-24.22,285,304,589,12,23.4,-0.0
0.1,0.8,0,61.84,1618.42,-24.22,285,304,589,12,23.4,-0.0
0.1,0.85,0,61.84,1618.42,-24.22,285,304,589,12,23.4,-0.0
0.1,0.9,0,61.84,1618.42,-24.22,285,304,589,12,23.4,-0.0
