thr_bot,thr_top,cooldown,pnl_pct,portfolio,alpha_bh,n_buy,n_sell,n_trades,n_ign,win_rate,alpha_orig
0.65,0.7,48,186.76,2867.57,100.69,140,145,285,29,51.0,210.86
0.45,0.7,96,182.6,2825.99,96.53,80,82,162,11,63.4,206.7
0.5,0.7,96,182.6,2825.99,96.53,80,82,162,11,63.4,206.7
0.55,0.7,96,182.6,2825.99,96.53,80,82,162,11,63.4,206.7
0.6,0.7,48,177.02,2770.17,90.95,141,145,286,33,51.7,201.12
0.6,0.7,96,176.21,2762.06,90.14,80,82,162,10,58.5,200.31
0.65,0.65,48,176.17,2761.69,90.1,156,164,320,14,42.7,200.27
0.45,0.7,48,174.27,2742.73,88.21,141,145,286,37,51.0,198.37
0.5,0.7,48,174.27,2742.73,88.21,141,145,286,37,51.0,198.37
0.55,0.7,48,174.27,2742.73,88.21,141,145,286,37,51.0,198.37
0.45,0.45,48,169.4,2693.99,83.33,169,176,345,10,44.9,193.5
0.45,0.5,48,169.4,2693.99,83.33,169,176,345,10,44.9,193.5
0.45,0.55,48,169.4,2693.99,83.33,169,176,345,10,44.9,193.5
0.5,0.45,48,169.4,2693.99,83.33,169,176,345,10,44.9,193.5
0.5,0.5,48,169.4,2693.99,83.33,169,176,345,10,44.9,193.5
0.5,0.55,48,169.4,2693.99,83.33,169,176,345,10,44.9,193.5
0.55,0.45,48,169.4,2693.99,83.33,169,176,345,10,44.9,193.5
0.55,0.5,48,169.4,2693.99,83.33,169,176,345,10,44.9,193.5
0.55,0.55,48,169.4,2693.99,83.33,169,176,345,10,44.9,193.5
0.45,0.6,48,164.48,2644.81,78.41,165,171,336,14,44.4,188.58
0.5,0.6,48,164.48,2644.81,78.41,165,171,336,14,44.4,188.58
0.55,0.6,48,164.48,2644.81,78.41,165,171,336,14,44.4,188.58
0.6,0.6,48,162.6,2626.03,76.54,164,171,335,11,45.0,186.7
0.45,0.65,48,161.4,2613.96,75.33,158,164,322,21,44.5,185.5
0.5,0.65,48,161.4,2613.96,75.33,158,164,322,21,44.5,185.5
0.55,0.65,48,161.4,2613.96,75.33,158,164,322,21,44.5,185.5
0.6,0.65,48,155.41,2554.1,69.34,158,164,322,17,43.3,179.51
0.65,0.65,24,154.62,2546.19,68.55,279,290,569,24,35.9,178.72
0.65,0.6,48,153.69,2536.86,67.62,164,171,335,6,45.0,177.79
0.6,0.45,48,151.51,2515.1,65.44,169,176,345,6,46.6,175.61
0.6,0.5,48,151.51,2515.1,65.44,169,176,345,6,46.6,175.61
0.6,0.55,48,151.51,2515.1,65.44,169,176,345,6,46.6,175.61
0.65,0.7,96,148.35,2483.47,62.28,80,82,162,8,56.1,172.45
0.6,0.65,96,147.67,2476.72,61.61,84,86,170,7,44.2,171.77
0.6,0.6,24,145.66,2456.63,59.6,304,317,621,25,34.7,169.76
0.45,0.65,96,143.17,2431.68,57.1,85,86,171,7,52.3,167.27
0.5,0.65,96,143.17,2431.68,57.1,85,86,171,7,52.3,167.27
0.55,0.65,96,143.17,2431.68,57.1,85,86,171,7,52.3,167.27
0.7,0.7,96,135.02,2350.23,48.96,80,81,161,5,49.4,159.12
0.6,0.45,24,133.08,2330.75,47.01,320,336,656,9,32.4,157.18
0.6,0.5,24,133.08,2330.75,47.01,320,336,656,9,32.4,157.18
0.6,0.55,24,133.08,2330.75,47.01,320,336,656,9,32.4,157.18
0.7,0.7,48,133.02,2330.15,46.95,140,144,284,11,45.1,157.12
0.45,0.45,24,127.94,2279.4,41.87,323,336,659,22,33.6,152.04
0.45,0.5,24,127.94,2279.4,41.87,323,336,659,22,33.6,152.04
0.45,0.55,24,127.94,2279.4,41.87,323,336,659,22,33.6,152.04
0.5,0.45,24,127.94,2279.4,41.87,323,336,659,22,33.6,152.04
0.5,0.5,24,127.94,2279.4,41.87,323,336,659,22,33.6,152.04
0.5,0.55,24,127.94,2279.4,41.87,323,336,659,22,33.6,152.04
0.55,0.45,24,127.94,2279.4,41.87,323,336,659,22,33.6,152.04
0.55,0.5,24,127.94,2279.4,41.87,323,336,659,22,33.6,152.04
