bot_combo,top_combo,umbral_bot,umbral_top,cooldown_bot,cooldown_top,pnl_pct,portfolio,n_buy,n_sell,n_trades,n_ign,win_rate,alpha_vs_bh,alpha_vs_orig
close_position+bb_position+recovery_pct,drawdown_pct,0.8,0.6,96,72,14.79,1147.94,89,88,177,30,56.8,90.57,43.41
close_position,drawdown_pct,0.75,0.6,96,72,14.63,1146.25,89,88,177,30,53.4,90.41,43.25
close_position,close_position+drawdown_pct+bb_position,0.6,0.9,96,0,13.5,1135.03,91,91,182,525,71.4,89.28,42.12
close_position+recovery_pct,drawdown_pct,0.65,0.6,96,72,12.93,1129.25,91,90,181,28,57.8,88.71,41.55
close_position+bb_position+recovery_pct,close_position+bb_position,0.8,0.7,96,72,12.7,1126.97,89,88,177,30,65.9,88.48,41.32
close_position,drawdown_pct,0.6,0.9,96,0,12.59,1125.86,91,91,182,907,69.2,88.37,41.21
recovery_pct,bb_position,0.75,0.6,72,48,12.5,1125.02,116,115,231,59,59.1,88.28,41.12
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.8,0.9,96,72,12.41,1124.08,89,90,179,17,57.8,88.19,41.03
close_position+bb_position+recovery_pct,bb_position,0.8,0.7,96,72,12.36,1123.61,89,88,177,29,64.8,88.14,40.98
close_position,close_position+bb_position,0.6,0.9,96,24,12.26,1122.59,91,91,182,117,67.0,88.04,40.88
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.9,96,0,12.14,1121.36,91,91,182,525,71.4,87.92,40.76
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.9,96,24,12.02,1120.17,90,90,180,124,65.6,87.8,40.64
close_position+recovery_pct,bb_position,0.65,0.7,96,72,11.94,1119.41,91,90,181,27,58.9,87.72,40.56
close_position+recovery_pct,close_position+bb_position,0.7,0.9,96,24,11.78,1117.77,90,90,180,118,66.7,87.56,40.4
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.8,0.7,96,72,11.73,1117.34,89,88,177,30,59.1,87.51,40.35
close_position,drawdown_pct,0.75,0.9,96,0,11.7,1116.98,89,89,178,909,68.5,87.48,40.32
close_position+bb_position+recovery_pct,close_position,0.8,0.7,96,72,11.69,1116.88,89,88,177,28,59.1,87.47,40.31
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.65,0.9,96,24,11.52,1115.24,91,91,182,123,67.0,87.3,40.14
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.8,0.7,96,72,11.46,1114.56,89,88,177,29,58.0,87.24,40.08
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.9,96,24,11.44,1114.43,91,91,182,123,67.0,87.22,40.06
bb_position+recovery_pct,close_position+bb_position,0.75,0.7,96,72,11.37,1113.67,89,88,177,30,61.4,87.15,39.99
close_position,close_position+drawdown_pct+bb_position,0.65,0.9,96,0,11.36,1113.56,91,91,182,525,69.2,87.14,39.98
close_position+bb_position,close_position+drawdown_pct+bb_position,0.6,0.9,96,0,11.28,1112.82,91,91,182,525,74.7,87.06,39.9
close_position,close_position+drawdown_pct+bb_position,0.75,0.9,96,0,11.19,1111.85,89,89,178,527,70.8,86.97,39.81
close_position,close_position+drawdown_pct+bb_position,0.6,0.9,96,24,11.17,1111.66,91,91,182,123,64.8,86.95,39.79
close_position,close_position+drawdown_pct,0.75,0.7,96,72,11.16,1111.58,89,88,177,30,54.5,86.94,39.78
close_position,close_position+bb_position,0.6,0.9,96,0,11.16,1111.61,91,91,182,529,72.5,86.94,39.78
recovery_pct,close_position+drawdown_pct+bb_position,0.75,0.6,72,48,11.14,1111.37,116,115,231,59,55.7,86.92,39.76
close_position,close_position+drawdown_pct,0.6,0.85,96,0,11.13,1111.27,91,91,182,904,73.6,86.91,39.75
close_position+recovery_pct,close_position+bb_position,0.65,0.9,96,24,11.08,1110.82,91,91,182,117,70.3,86.86,39.7
close_position+bb_position+recovery_pct,drawdown_pct,0.7,0.9,96,0,11.05,1110.46,91,91,182,907,69.2,86.83,39.67
bb_position+recovery_pct,drawdown_pct,0.75,0.6,96,72,10.98,1109.76,89,88,177,30,50.0,86.76,39.6
recovery_pct,drawdown_pct,0.75,0.65,72,48,10.97,1109.68,116,115,231,55,53.0,86.75,39.59
close_position,close_position+drawdown_pct+bb_position,0.75,0.9,96,24,10.89,1108.89,89,89,178,125,67.4,86.67,39.51
close_position+recovery_pct,close_position+bb_position,0.7,0.7,96,72,10.87,1108.72,90,89,179,29,57.3,86.65,39.49
close_position+bb_position+recovery_pct,close_position+bb_position,0.75,0.7,96,72,10.87,1108.69,89,88,177,30,63.6,86.65,39.49
close_position+recovery_pct,close_position+bb_position,0.6,0.9,96,24,10.83,1108.27,92,92,184,116,68.5,86.61,39.45
close_position+recovery_pct,bb_position,0.65,0.75,96,72,10.82,1108.19,91,91,182,23,51.6,86.6,39.44
close_position+bb_position+recovery_pct,close_position+drawdown_pct+bb_position,0.7,0.85,96,0,10.82,1108.18,91,91,182,904,70.3,86.6,39.44
close_position,close_position+drawdown_pct+bb_position,0.65,0.9,96,24,10.79,1107.86,91,91,182,123,65.9,86.57,39.41
bb_position+recovery_pct,bb_position,0.75,0.7,96,72,10.75,1107.53,89,88,177,29,59.1,86.53,39.37
close_position+recovery_pct,drawdown_pct+bb_position,0.6,0.9,96,24,10.7,1106.97,92,92,184,136,69.6,86.48,39.32
close_position,drawdown_pct,0.6,0.9,96,12,10.68,1106.84,91,91,182,260,68.1,86.46,39.3
close_position+bb_position,drawdown_pct,0.75,0.6,96,72,10.62,1106.15,89,88,177,30,53.4,86.4,39.24
close_position+recovery_pct,close_position+drawdown_pct+bb_position,0.6,0.85,96,24,10.57,1105.72,92,92,184,149,68.5,86.35,39.19
close_position+bb_position+recovery_pct,close_position+drawdown_pct,0.7,0.85,96,0,10.57,1105.74,91,91,182,904,70.3,86.35,39.19
close_position+bb_position+recovery_pct,drawdown_pct,0.7,0.6,96,72,10.54,1105.39,91,90,181,28,48.9,86.32,39.16
bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.9,96,72,10.53,1105.3,89,90,179,17,52.2,86.31,39.15
close_position+bb_position+recovery_pct,close_position,0.7,0.7,96,72,10.51,1105.1,91,90,181,26,52.2,86.29,39.13
close_position+recovery_pct,bb_position,0.7,0.7,96,72,10.48,1104.77,90,89,179,28,57.3,86.26,39.1
close_position+bb_position+recovery_pct,drawdown_pct,0.75,0.6,96,72,10.48,1104.77,89,88,177,30,52.3,86.26,39.1
bb_position+recovery_pct,close_position,0.75,0.7,96,72,10.46,1104.64,89,88,177,28,55.7,86.24,39.08
close_position,close_position+drawdown_pct+bb_position,0.6,0.9,96,12,10.37,1103.7,91,91,182,212,69.2,86.15,38.99
close_position+bb_position+recovery_pct,close_position+bb_position,0.7,0.9,96,24,10.37,1103.73,91,91,182,117,67.0,86.15,38.99
close_position+bb_position,drawdown_pct,0.6,0.9,96,0,10.36,1103.57,91,91,182,907,73.6,86.14,38.98
close_position,close_position+drawdown_pct,0.75,0.8,96,48,10.33,1103.35,89,89,178,70,58.4,86.11,38.95
close_position+bb_position+recovery_pct,bb_position,0.75,0.7,96,72,10.31,1103.09,89,88,177,29,60.2,86.09,38.93
close_position,close_position+drawdown_pct+bb_position,0.6,0.85,96,0,10.27,1102.69,91,91,182,904,73.6,86.05,38.89
close_position,close_position+drawdown_pct+bb_position,0.75,0.9,96,12,10.21,1102.07,89,89,178,214,69.7,85.99,38.83
close_position+bb_position+recovery_pct,close_position+bb_position,0.8,0.9,96,72,10.18,1101.84,89,88,177,15,61.4,85.96,38.8
close_position+recovery_pct,drawdown_pct,0.7,0.6,96,72,10.07,1100.66,90,89,179,29,52.8,85.85,38.69
close_position+bb_position+recovery_pct,drawdown_pct+bb_position,0.75,0.9,96,72,10.07,1100.74,89,90,179,17,54.4,85.85,38.69
close_position+bb_position+recovery_pct,close_position,0.75,0.7,96,72,9.97,1099.66,89,88,177,28,58.0,85.75,38.59
close_position+bb_position+recovery_pct,drawdown_pct,0.8,0.8,96,72,9.96,1099.59,89,90,179,24,61.1,85.74,38.58
close_position,drawdown_pct,0.75,0.9,96,12,9.95,1099.5,89,89,178,262,66.3,85.73,38.57
close_position,close_position+bb_position,0.65,0.9,96,24,9.88,1098.83,91,91,182,117,65.9,85.66,38.5
close_position+bb_position+recovery_pct,close_position+bb_position,0.7,0.9,96,0,9.85,1098.53,91,91,182,529,70.3,85.63,38.47
close_position+recovery_pct,close_position,0.65,0.7,96,72,9.83,1098.31,91,90,181,26,47.8,85.61,38.45
close_position,close_position,0.7,0.7,96,72,9.8,1098.03,91,90,181,26,52.2,85.58,38.42
recovery_pct,close_position+drawdown_pct,0.75,0.65,72,48,9.78,1097.8,116,115,231,56,52.2,85.56,38.4
recovery_pct,drawdown_pct+bb_position,0.75,0.6,72,48,9.77,1097.68,116,115,231,58,53.9,85.55,38.39
close_position+bb_position,close_position+drawdown_pct,0.75,0.8,96,0,9.72,1097.16,89,89,178,1382,73.0,85.5,38.34
close_position,drawdown_pct,0.6,0.6,96,72,9.71,1097.13,91,91,182,27,54.9,85.49,38.33
close_position+recovery_pct,bb_position,0.7,0.75,96,72,9.71,1097.11,90,89,179,25,56.2,85.49,38.33
