te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,valid
binning,14,jacobian,3,fixed,filter_and,0.7,0.65,0,9,329.53,4295.3,7.35,322.18,380,406,786,149,53.4,6,True
kde,14,jacobian,3,fixed,filter_and,0.7,0.65,0,9,329.53,4295.3,7.35,322.18,380,406,786,149,53.4,6,True
binning,14,jacobian,3,fixed,filter_and,0.7,0.65,0,7,305.18,4051.84,7.35,297.83,363,390,753,182,53.3,6,True
kde,14,jacobian,3,fixed,filter_and,0.7,0.65,0,7,305.18,4051.84,7.35,297.83,363,390,753,182,53.3,6,True
binning,20,jacobian,3,fixed,score_component,0.75,0.75,96,9,218.66,3186.65,7.35,211.31,32,31,63,35,74.2,9,False
kde,20,jacobian,3,fixed,score_component,0.75,0.75,96,9,218.66,3186.65,7.35,211.31,32,31,63,35,74.2,9,False
binning,20,jacobian,3,fixed,score_component,0.75,0.75,48,9,212.74,3127.37,7.35,205.38,32,31,63,43,74.2,8,False
kde,20,jacobian,3,fixed,score_component,0.75,0.75,48,9,212.74,3127.37,7.35,205.38,32,31,63,43,74.2,8,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,24,5,210.23,3102.32,7.35,202.88,13,11,24,11,63.6,5,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,48,5,210.23,3102.32,7.35,202.88,13,11,24,10,63.6,5,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,96,5,210.23,3102.32,7.35,202.88,13,11,24,9,63.6,5,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,24,5,210.23,3102.32,7.35,202.88,13,11,24,11,63.6,5,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,48,5,210.23,3102.32,7.35,202.88,13,11,24,10,63.6,5,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,96,5,210.23,3102.32,7.35,202.88,13,11,24,9,63.6,5,False
binning,14,jacobian,2,fixed,filter_and,0.75,0.75,96,9,209.05,3090.46,7.35,201.69,35,34,69,47,67.6,9,False
kde,14,jacobian,2,fixed,filter_and,0.75,0.75,96,9,209.05,3090.46,7.35,201.69,35,34,69,47,67.6,9,False
binning,20,jacobian,2,fixed,filter_and,0.7,0.7,96,9,207.48,3074.82,7.35,200.13,38,38,76,55,65.8,9,False
kde,20,jacobian,2,fixed,filter_and,0.7,0.7,96,9,207.48,3074.82,7.35,200.13,38,38,76,55,65.8,9,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,48,7,206.4,3064.02,7.35,199.05,16,11,27,7,63.6,7,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,96,7,206.4,3064.02,7.35,199.05,16,11,27,6,63.6,7,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,48,7,206.4,3064.02,7.35,199.05,16,11,27,7,63.6,7,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,96,7,206.4,3064.02,7.35,199.05,16,11,27,6,63.6,7,False
binning,20,jacobian,3,fixed,score_component,0.75,0.75,24,9,206.29,3062.89,7.35,198.93,33,33,66,47,75.8,8,False
kde,20,jacobian,3,fixed,score_component,0.75,0.75,24,9,206.29,3062.89,7.35,198.93,33,33,66,47,75.8,8,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,24,7,205.83,3058.32,7.35,198.48,16,11,27,8,63.6,7,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,24,7,205.83,3058.32,7.35,198.48,16,11,27,8,63.6,7,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,0,5,203.7,3037.02,7.35,196.35,13,11,24,17,63.6,5,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,0,5,203.7,3037.02,7.35,196.35,13,11,24,17,63.6,5,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,0,7,201.51,3015.15,7.35,194.16,16,11,27,14,63.6,7,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,0,7,201.51,3015.15,7.35,194.16,16,11,27,14,63.6,7,False
binning,20,jacobian,3,fixed,score_component,0.75,0.75,0,9,200.85,3008.54,7.35,193.5,41,41,82,78,70.7,8,False
kde,20,jacobian,3,fixed,score_component,0.75,0.75,0,9,200.85,3008.54,7.35,193.5,41,41,82,78,70.7,8,False
binning,20,jacobian,3,fixed,score_component,0.75,0.75,96,7,197.18,2971.85,7.35,189.83,31,31,62,36,67.7,6,False
kde,20,jacobian,3,fixed,score_component,0.75,0.75,96,7,197.18,2971.85,7.35,189.83,31,31,62,36,67.7,6,False
binning,8,jacobian,2,fixed,score_component,0.75,0.75,96,9,194.1,2941.0,7.35,186.75,34,31,65,35,87.1,9,False
binning,8,jacobian,2,fixed,filter_and,0.7,0.75,96,9,191.85,2918.49,7.35,184.49,14,4,18,27,100.0,9,False
binning,14,jacobian,2,fixed,filter_and,0.75,0.75,48,9,190.91,2909.12,7.35,183.56,37,36,73,54,66.7,9,False
kde,14,jacobian,2,fixed,filter_and,0.75,0.75,48,9,190.91,2909.12,7.35,183.56,37,36,73,54,66.7,9,False
binning,14,jacobian,3,fixed,filter_and,0.7,0.65,0,5,189.74,2897.37,7.35,182.38,332,363,695,240,50.1,5,True
kde,14,jacobian,3,fixed,filter_and,0.7,0.65,0,5,189.74,2897.37,7.35,182.38,332,363,695,240,50.1,5,True
binning,8,jacobian,2,fixed,filter_and,0.7,0.8,96,9,187.75,2877.47,7.35,180.39,9,0,9,32,0.0,9,False
binning,14,jacobian,2,fixed,filter_and,0.75,0.75,24,9,185.13,2851.28,7.35,177.77,38,37,75,55,67.6,9,False
kde,14,jacobian,2,fixed,filter_and,0.75,0.75,24,9,185.13,2851.28,7.35,177.77,38,37,75,55,67.6,9,False
binning,10,analogical,3,fixed,filter_and,0.55,0.55,0,7,184.62,2846.15,7.35,177.26,32,32,64,8,81.2,6,False
kde,10,analogical,3,fixed,filter_and,0.55,0.55,0,7,184.62,2846.15,7.35,177.26,32,32,64,8,81.2,6,False
binning,14,jacobian,3,adaptive_percentile,filter_and,0.75,0.75,0,5,184.36,2843.65,7.35,177.01,90,98,188,69,60.2,4,True
kde,14,jacobian,3,adaptive_percentile,filter_and,0.75,0.75,0,5,184.36,2843.65,7.35,177.01,90,98,188,69,60.2,4,True
binning,20,jacobian,2,fixed,score_component,0.75,0.8,0,9,184.21,2842.12,7.35,176.86,9,0,9,47,0.0,9,False
binning,20,jacobian,2,fixed,score_component,0.75,0.8,24,9,184.21,2842.12,7.35,176.86,9,0,9,35,0.0,9,False
binning,20,jacobian,2,fixed,score_component,0.75,0.8,48,9,184.21,2842.12,7.35,176.86,9,0,9,34,0.0,9,False
binning,20,jacobian,2,fixed,score_component,0.75,0.8,96,9,184.21,2842.12,7.35,176.86,9,0,9,33,0.0,9,False
kde,20,jacobian,2,fixed,score_component,0.75,0.8,0,9,184.21,2842.12,7.35,176.86,9,0,9,47,0.0,9,False
kde,20,jacobian,2,fixed,score_component,0.75,0.8,24,9,184.21,2842.12,7.35,176.86,9,0,9,35,0.0,9,False
kde,20,jacobian,2,fixed,score_component,0.75,0.8,48,9,184.21,2842.12,7.35,176.86,9,0,9,34,0.0,9,False
kde,20,jacobian,2,fixed,score_component,0.75,0.8,96,9,184.21,2842.12,7.35,176.86,9,0,9,33,0.0,9,False
binning,20,jacobian,3,fixed,filter_and,0.7,0.7,96,9,181.53,2815.27,7.35,174.17,47,46,93,59,60.9,9,False
kde,20,jacobian,3,fixed,filter_and,0.7,0.7,96,9,181.53,2815.27,7.35,174.17,47,46,93,59,60.9,9,False
binning,10,analogical,3,fixed,filter_and,0.55,0.55,96,7,180.48,2804.84,7.35,173.13,28,29,57,7,79.3,5,False
kde,10,analogical,3,fixed,filter_and,0.55,0.55,96,7,180.48,2804.84,7.35,173.13,28,29,57,7,79.3,5,False
binning,20,jacobian,3,adaptive_percentile,filter_and,0.8,0.75,0,5,180.27,2802.75,7.35,172.92,48,54,102,47,63.0,0,True
kde,20,jacobian,3,adaptive_percentile,filter_and,0.8,0.75,0,5,180.27,2802.75,7.35,172.92,48,54,102,47,63.0,0,True
binning,8,jacobian,2,fixed,score_component,0.75,0.8,96,9,179.62,2796.17,7.35,172.26,10,1,11,54,100.0,9,False
binning,14,jacobian,2,fixed,filter_and,0.75,0.75,96,7,178.37,2783.74,7.35,171.02,34,34,68,48,67.6,7,False
kde,14,jacobian,2,fixed,filter_and,0.75,0.75,96,7,178.37,2783.74,7.35,171.02,34,34,68,48,67.6,7,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,24,9,177.89,2778.86,7.35,170.53,18,11,29,6,63.6,9,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,48,9,177.89,2778.86,7.35,170.53,18,11,29,5,63.6,9,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,96,9,177.89,2778.86,7.35,170.53,18,11,29,4,63.6,9,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,24,9,177.89,2778.86,7.35,170.53,18,11,29,6,63.6,9,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,48,9,177.89,2778.86,7.35,170.53,18,11,29,5,63.6,9,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,96,9,177.89,2778.86,7.35,170.53,18,11,29,4,63.6,9,False
binning,28,analogical,3,fixed,score_component,0.65,0.7,0,5,177.58,2775.8,7.35,170.23,5,0,5,4,0.0,5,False
binning,28,analogical,3,fixed,score_component,0.65,0.75,0,5,177.58,2775.8,7.35,170.23,5,0,5,4,0.0,5,False
binning,28,analogical,3,fixed,score_component,0.65,0.8,0,5,177.58,2775.8,7.35,170.23,5,0,5,4,0.0,5,False
kde,28,analogical,3,fixed,score_component,0.65,0.7,0,5,177.58,2775.8,7.35,170.23,5,0,5,4,0.0,5,False
kde,28,analogical,3,fixed,score_component,0.65,0.75,0,5,177.58,2775.8,7.35,170.23,5,0,5,4,0.0,5,False
kde,28,analogical,3,fixed,score_component,0.65,0.8,0,5,177.58,2775.8,7.35,170.23,5,0,5,4,0.0,5,False
binning,20,jacobian,3,adaptive_percentile,filter_and,0.8,0.75,0,7,177.07,2770.65,7.35,169.71,50,57,107,42,64.9,0,True
kde,20,jacobian,3,adaptive_percentile,filter_and,0.8,0.75,0,7,177.07,2770.65,7.35,169.71,50,57,107,42,64.9,0,True
binning,8,jacobian,2,fixed,filter_and,0.7,0.75,0,9,176.36,2763.59,7.35,169.0,14,4,18,33,100.0,9,False
binning,8,jacobian,2,fixed,filter_and,0.7,0.75,24,9,176.36,2763.59,7.35,169.0,14,4,18,31,100.0,9,False
binning,8,jacobian,2,fixed,filter_and,0.7,0.75,48,9,176.36,2763.59,7.35,169.0,14,4,18,30,100.0,9,False
binning,8,jacobian,2,fixed,score_component,0.75,0.75,48,9,175.38,2753.85,7.35,168.03,35,32,67,40,87.5,9,False
binning,8,jacobian,2,fixed,score_component,0.75,0.75,24,9,175.36,2753.61,7.35,168.01,36,33,69,42,84.8,9,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.75,0,9,174.59,2745.9,7.35,167.24,18,11,29,12,63.6,9,False
kde,20,jacobian,3,fixed,filter_and,0.75,0.75,0,9,174.59,2745.9,7.35,167.24,18,11,29,12,63.6,9,False
binning,14,jacobian,3,adaptive_percentile,filter_and,0.8,0.8,96,9,173.73,2737.29,7.35,166.37,40,39,79,14,76.9,9,False
kde,14,jacobian,3,adaptive_percentile,filter_and,0.8,0.8,96,9,173.73,2737.29,7.35,166.37,40,39,79,14,76.9,9,False
binning,14,jacobian,3,fixed,filter_and,0.75,0.75,24,9,173.25,2732.45,7.35,165.89,46,46,92,44,69.6,9,False
binning,14,jacobian,3,fixed,filter_and,0.75,0.75,48,9,173.25,2732.45,7.35,165.89,46,46,92,44,69.6,9,False
kde,14,jacobian,3,fixed,filter_and,0.75,0.75,24,9,173.25,2732.45,7.35,165.89,46,46,92,44,69.6,9,False
kde,14,jacobian,3,fixed,filter_and,0.75,0.75,48,9,173.25,2732.45,7.35,165.89,46,46,92,44,69.6,9,False
binning,14,jacobian,2,adaptive_percentile,filter_and,0.8,0.8,96,9,172.05,2720.46,7.35,164.69,40,40,80,21,75.0,9,False
kde,14,jacobian,2,adaptive_percentile,filter_and,0.8,0.8,96,9,172.05,2720.46,7.35,164.69,40,40,80,21,75.0,9,False
binning,14,jacobian,2,adaptive_percentile,filter_and,0.8,0.8,48,9,171.43,2714.33,7.35,164.08,42,42,84,23,76.2,9,False
kde,14,jacobian,2,adaptive_percentile,filter_and,0.8,0.8,48,9,171.43,2714.33,7.35,164.08,42,42,84,23,76.2,9,False
binning,20,jacobian,2,fixed,filter_and,0.7,0.7,96,7,171.41,2714.15,7.35,164.06,38,38,76,55,63.2,7,False
kde,20,jacobian,2,fixed,filter_and,0.7,0.7,96,7,171.41,2714.15,7.35,164.06,38,38,76,55,63.2,7,False
binning,14,jacobian,3,fixed,filter_and,0.75,0.75,96,9,170.42,2704.23,7.35,163.07,42,42,84,38,76.2,9,False
kde,14,jacobian,3,fixed,filter_and,0.75,0.75,96,9,170.42,2704.23,7.35,163.07,42,42,84,38,76.2,9,False
binning,10,analogical,3,fixed,filter_and,0.55,0.55,48,7,170.35,2703.48,7.35,162.99,29,30,59,8,80.0,5,False
kde,10,analogical,3,fixed,filter_and,0.55,0.55,48,7,170.35,2703.48,7.35,162.99,29,30,59,8,80.0,5,False
binning,28,jacobian,2,adaptive_percentile,score_component,0.75,0.8,0,5,169.78,2697.84,7.35,162.43,96,103,199,281,42.7,5,True
kde,28,jacobian,2,adaptive_percentile,score_component,0.75,0.8,0,5,169.78,2697.84,7.35,162.43,96,103,199,281,42.7,5,True
binning,8,jacobian,2,fixed,filter_and,0.7,0.8,0,9,169.69,2696.92,7.35,162.34,9,0,9,38,0.0,9,False
binning,8,jacobian,2,fixed,filter_and,0.7,0.8,24,9,169.69,2696.92,7.35,162.34,9,0,9,36,0.0,9,False
binning,8,jacobian,2,fixed,filter_and,0.7,0.8,48,9,169.69,2696.92,7.35,162.34,9,0,9,35,0.0,9,False
binning,8,jacobian,2,fixed,filter_and,0.7,0.7,96,7,169.36,2693.59,7.35,162.0,20,18,38,21,83.3,7,False
binning,20,jacobian,3,adaptive_percentile,filter_and,0.8,0.8,0,9,168.67,2686.74,7.35,161.32,37,38,75,20,63.2,7,False
kde,20,jacobian,3,adaptive_percentile,filter_and,0.8,0.8,0,9,168.67,2686.74,7.35,161.32,37,38,75,20,63.2,7,False
binning,20,jacobian,3,fixed,filter_and,0.75,0.8,0,9,168.28,2682.8,7.35,160.93,9,0,9,21,0.0,9,False
