te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,elapsed_s,valid
binning,15,jacobian,2,fixed,score_component,0.55,0.55,0,5,203.18,3031.84,7.35,195.83,152,169,321,188,55.0,0,61.49,True
kde,15,jacobian,2,fixed,score_component,0.55,0.55,0,5,203.18,3031.84,7.35,195.83,152,169,321,188,55.0,0,167.97,True
binning,15,jacobian,3,fixed,score_component,0.55,0.55,0,5,185.61,2856.15,7.35,178.26,151,169,320,180,49.7,0,61.9,True
kde,15,jacobian,3,fixed,score_component,0.55,0.55,0,5,185.61,2856.15,7.35,178.26,151,169,320,180,49.7,0,169.61,True
binning,15,jacobian,3,fixed,filter_and,0.55,0.55,0,5,101.22,2012.24,7.35,93.87,19,17,36,7,88.2,5,61.92,True
kde,15,jacobian,3,fixed,filter_and,0.55,0.55,0,5,101.22,2012.24,7.35,93.87,19,17,36,7,88.2,5,169.0,True
binning,30,jacobian,3,fixed,filter_and,0.55,0.55,0,5,89.21,1892.06,7.35,81.85,192,205,397,574,48.3,5,90.16,True
kde,30,jacobian,3,fixed,filter_and,0.55,0.55,0,5,89.21,1892.06,7.35,81.85,192,205,397,574,48.3,5,191.84,True
binning,30,jacobian,2,fixed,filter_and,0.55,0.55,0,5,65.67,1656.65,7.35,58.31,144,153,297,447,48.4,5,88.8,True
kde,30,jacobian,2,fixed,filter_and,0.55,0.55,0,5,65.67,1656.65,7.35,58.31,144,153,297,447,48.4,5,191.23,True
binning,20,jacobian,2,fixed,filter_and,0.55,0.55,0,5,62.02,1620.21,7.35,54.67,176,186,362,374,48.9,4,70.84,True
kde,20,jacobian,2,fixed,filter_and,0.55,0.55,0,5,62.02,1620.21,7.35,54.67,176,186,362,374,48.9,4,177.3,True
binning,30,analogical,3,fixed,filter_and,0.55,0.55,0,5,47.66,1476.59,7.35,40.3,14,15,29,24,80.0,0,90.53,True
kde,30,analogical,3,fixed,filter_and,0.55,0.55,0,5,47.66,1476.59,7.35,40.3,14,15,29,24,80.0,0,192.47,True
binning,15,jacobian,2,fixed,filter_and,0.55,0.55,0,5,19.26,1192.63,7.35,11.91,15,12,27,15,66.7,5,61.04,True
kde,15,jacobian,2,fixed,filter_and,0.55,0.55,0,5,19.26,1192.63,7.35,11.91,15,12,27,15,66.7,5,167.48,True
binning,20,analogical,3,fixed,score_component,0.55,0.55,0,5,18.67,1186.66,7.35,11.31,206,220,426,927,55.9,0,72.11,True
kde,20,analogical,3,fixed,score_component,0.55,0.55,0,5,18.67,1186.66,7.35,11.31,206,220,426,927,55.9,0,179.16,True
binning,20,jacobian,3,fixed,filter_and,0.55,0.55,0,5,13.65,1136.52,7.35,6.3,224,239,463,366,47.3,5,71.52,True
kde,20,jacobian,3,fixed,filter_and,0.55,0.55,0,5,13.65,1136.52,7.35,6.3,224,239,463,366,47.3,5,178.56,True
binning,20,analogical,3,adaptive_percentile,filter_and,0.55,0.55,0,5,5.51,1055.11,7.35,-1.84,576,608,1184,1386,57.4,2,77.33,True
kde,20,analogical,3,adaptive_percentile,filter_and,0.55,0.55,0,5,5.51,1055.11,7.35,-1.84,576,608,1184,1386,57.4,2,182.79,True
binning,15,jacobian,2,adaptive_percentile,filter_and,0.55,0.55,0,5,3.37,1033.74,7.35,-3.98,507,559,1066,2354,55.6,4,65.34,True
kde,15,jacobian,2,adaptive_percentile,filter_and,0.55,0.55,0,5,3.37,1033.74,7.35,-3.98,507,559,1066,2354,55.6,4,176.2,True
binning,20,analogical,2,fixed,score_component,0.55,0.55,0,5,3.26,1032.57,7.35,-4.1,111,119,230,555,51.3,1,71.49,True
kde,20,analogical,2,fixed,score_component,0.55,0.55,0,5,3.26,1032.57,7.35,-4.1,111,119,230,555,51.3,1,178.44,True
binning,15,jacobian,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-0.72,992.81,7.35,-8.07,507,557,1064,2482,55.8,4,66.94,True
kde,15,jacobian,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-0.72,992.81,7.35,-8.07,507,557,1064,2482,55.8,4,176.06,True
binning,20,jacobian,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-0.85,991.52,7.35,-8.2,360,395,755,1334,55.9,1,77.04,True
kde,20,jacobian,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-0.85,991.52,7.35,-8.2,360,395,755,1334,55.9,1,182.77,True
binning,30,jacobian,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-2.34,976.61,7.35,-9.69,278,305,583,1639,52.1,0,95.04,True
kde,30,jacobian,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-2.34,976.61,7.35,-9.69,278,305,583,1639,52.1,0,198.3,True
binning,15,analogical,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-5.6,944.03,7.35,-12.95,613,632,1245,2595,60.3,0,66.25,True
kde,15,analogical,3,adaptive_percentile,filter_and,0.55,0.55,0,5,-5.6,944.03,7.35,-12.95,613,632,1245,2595,60.3,0,176.3,True
binning,20,analogical,2,fixed,filter_and,0.55,0.55,0,5,-5.68,943.23,7.35,-13.03,15,17,32,30,52.9,0,70.4,True
kde,20,analogical,2,fixed,filter_and,0.55,0.55,0,5,-5.68,943.23,7.35,-13.03,15,17,32,30,52.9,0,177.46,True
