tp_id,method,params,type,datetime,ts,tp_price,move_from_prev_pct,candles_from_prev,prev_ts,prev_price,duration_candles,move_pct,max_adverse_excursion_pct,vol_mean,vol_slope,vol_first_vs_second_half,vol_last5_vs_avg,vol_acceleration,taker_ratio_mean,taker_ratio_slope,taker_last5_vs_avg,taker_acceleration,rsi_at_end,rsi_min_during,rsi_max_during,rsi_range,rsi_slope_last5,price_vs_ma20_pct,price_vs_ma50_pct,ma20_slope_last5,below_both_mas,above_both_mas,body_ratio_mean,lower_wick_ratio_mean,upper_wick_ratio_mean,pct_bearish_candles,pct_bullish_candles,consec_same_dir_end,price_slope,volatility_pct,price_acceleration,vol_price_divergence
19874,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-11-10T21:00:00Z,1636578000,62822.9,6.7615,21,1636502400,67378.7,8,8.9523,9.8326,4765.71,0.191291,0.4758,1.1625,0.828644,0.4902,-0.04148,0.9191,0.029671,28.98,28.98,68.63,39.64,-0.207516,-4.0067,-4.3846,-0.000663,1,0,0.4489,0.2548,0.2962,62.5,37.5,4,-0.008477,0.9482,-0.018648,0.199768
19877,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-11-15T09:00:00Z,1636966800,66401.82,6.6216,65,1636732800,62278.0,66,6.6216,6.6216,1167.29,-0.000697,1.0148,0.9786,0.042894,0.4906,0.00066,1.0315,0.001935,68.05,30.9,70.71,39.81,0.008351,1.4478,2.0914,0.00093,0,1,0.3819,0.2869,0.3312,46.97,53.03,2,0.000436,0.4491,0.000293,-0.001133
19878,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-11-19T03:00:00Z,1637290800,55600.0,16.2674,90,1636966800,66401.82,91,16.2674,19.4277,2443.21,0.000119,1.1266,1.131,0.013001,0.4848,-2.2e-05,0.9956,0.000625,28.7,16.5,68.05,51.54,-0.039708,-3.5544,-5.5185,-0.002791,1,0,0.4191,0.3103,0.2706,61.54,38.46,3,-0.001218,0.7108,0.00112,0.001336
19879,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-11-21T17:00:00Z,1637514000,60029.76,7.9672,62,1637290800,55600.0,63,7.9672,7.9672,1605.11,-0.008496,1.1984,1.0858,0.033901,0.4748,1.7e-05,0.9838,-0.000824,57.47,28.7,68.01,39.31,0.04956,0.6219,1.3358,-5.3e-05,0,1,0.4134,0.2906,0.296,50.79,49.21,1,0.000745,0.5895,-0.001094,-0.009241
19880,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-11-23T09:00:00Z,1637658000,55317.0,7.8507,40,1637514000,60029.76,41,7.8507,8.5196,2029.43,0.012492,0.6799,1.3898,-0.016806,0.4838,0.002506,1.0992,0.006695,45.83,28.05,59.24,31.19,0.017469,-0.2283,-1.913,-0.001105,1,0,0.4426,0.2822,0.2752,68.29,31.71,2,-0.001268,0.7388,0.00116,0.01376
19881,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-11-25T23:00:00Z,1637881200,59398.9,7.3791,62,1637658000,55317.0,63,7.3791,7.3791,1816.07,-0.00605,1.1657,0.6244,0.017346,0.492,-0.000213,0.9671,-0.000706,65.39,38.56,71.4,32.84,0.002506,1.0327,2.5602,0.000928,0,1,0.4039,0.253,0.3431,46.03,53.97,2,0.000591,0.5696,0.001772,-0.006642
19882,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-11-28T18:00:00Z,1638122400,53256.64,10.3407,67,1637881200,59398.9,68,10.3407,11.5333,1771.18,-0.018208,1.9625,0.8444,0.028228,0.486,0.000422,0.9737,0.000773,43.29,13.4,65.39,51.98,-0.031564,-0.4383,-0.6016,-0.000456,1,0,0.4041,0.3017,0.2942,57.35,42.65,1,-0.00068,0.6192,0.002054,-0.017528
19883,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-11-29T18:00:00Z,1638208800,58865.97,10.5326,24,1638122400,53256.64,25,10.5326,10.5326,1932.58,-0.015496,1.3618,1.1153,0.13992,0.5032,-0.005184,0.9623,0.006739,72.69,43.29,78.1,34.81,0.063634,2.1381,5.2518,0.00218,0,1,0.4766,0.1871,0.3364,32.0,68.0,4,0.00174,0.8455,-0.003972,-0.017236
19884,zigzag,"{""min_move_pct"": 5.0}",BOTTOM,2021-11-30T06:00:00Z,1638252000,55875.55,5.08,12,1638208800,58865.97,13,5.08,5.3519,1543.51,-0.000269,0.9516,0.951,0.107702,0.4823,-0.006369,0.9666,-0.001182,42.75,39.3,72.69,33.38,-0.056679,-1.6276,0.2313,-0.000348,0,0,0.4663,0.2796,0.2541,53.85,46.15,1,-0.002794,0.6303,-0.001761,0.002525
19885,zigzag,"{""min_move_pct"": 5.0}",TOP,2021-11-30T15:00:00Z,1638284400,59176.99,5.9086,9,1638252000,55875.55,10,5.9086,5.9086,2489.32,0.119187,0.5307,1.3066,0.285369,0.4851,0.0165,1.0412,-0.010575,49.36,42.5,64.69,22.19,-0.016102,-0.287,0.5332,-0.000192,0,0,0.354,0.347,0.299,30.0,70.0,1,0.003285,0.8195,-0.002785,0.115902
